"filename", "language", "JavaScript", "JSON", "Ini", "XML", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/Yuriy/projects/hotel/client/src/components/client_components/news_posts/css/newsPostReader.module.css", "CSS", 0, 0, 0, 0, 160, 0, 0, 1, 12, 173
"/Users/Yuriy/projects/hotel/client/src/components/client_components/news_posts/css/newsPostSideCard.module.css", "CSS", 0, 0, 0, 0, 88, 0, 0, 0, 6, 94
"/Users/Yuriy/projects/hotel/client/src/components/client_components/news_posts/css/newsPostsIndexContainer.module.css", "CSS", 0, 0, 0, 0, 88, 0, 0, 0, 6, 94
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/Room.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 13, 9, 136
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/RoomsIndexContainer.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 10, 13, 149
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/css/room.module.css", "CSS", 0, 0, 0, 0, 54, 0, 0, 2, 3, 59
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/css/roomIndexContainer.module.css", "CSS", 0, 0, 0, 0, 101, 0, 0, 4, 8, 113
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/helpers/setDefaultValues.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 2, 1, 41
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/room_views/MobileRoomPicsView.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 6, 3, 32
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/room_views/RoomLeft.js", "JavaScript", 227, 0, 0, 0, 0, 0, 0, 6, 3, 236
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/room_views/RoomRight.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 6, 4, 238
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/room_views/css/mobileRoomPicsView.module.css", "CSS", 0, 0, 0, 0, 41, 0, 0, 0, 5, 46
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/room_views/css/roomLeft.module.css", "CSS", 0, 0, 0, 0, 192, 0, 0, 8, 13, 213
"/Users/Yuriy/projects/hotel/client/src/components/client_components/rooms/room_views/css/roomRight.module.css", "CSS", 0, 0, 0, 0, 181, 0, 0, 8, 17, 206
"/Users/Yuriy/projects/hotel/client/src/components/client_components/services/ServiceClientView.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 5, 6, 85
"/Users/Yuriy/projects/hotel/client/src/components/client_components/services/ServicesIndexComponent.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 7, 12, 122
"/Users/Yuriy/projects/hotel/client/src/components/client_components/services/css/serviceClientView.module.css", "CSS", 0, 0, 0, 0, 111, 0, 0, 1, 9, 121
"/Users/Yuriy/projects/hotel/client/src/components/client_components/services/css/servicesIndexContainer.module.css", "CSS", 0, 0, 0, 0, 87, 0, 0, 1, 8, 96
"/Users/Yuriy/projects/hotel/client/src/components/client_components/services/home_page/HomePageServiceCard.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 5, 8, 76
"/Users/Yuriy/projects/hotel/client/src/components/client_components/services/home_page/HomePageServices.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 10, 6, 112
"/Users/Yuriy/projects/hotel/client/src/components/client_components/services/home_page/css/homePageServiceCard.module.css", "CSS", 0, 0, 0, 0, 50, 0, 0, 0, 4, 54
"/Users/Yuriy/projects/hotel/client/src/components/client_components/services/home_page/css/homePageServices.module.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 1, 4, 73
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/AnimatedBorder.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 2, 3, 32
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/AnimatedBorderButton.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/ClientNotFoundComponent.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 3, 3, 29
