Date : 2021-08-23 17:03:12
Directory : /Users/Yuriy/projects/hotel
Total : 465 files,  93791 codes, 11753 comments, 15340 blanks, all 120884 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/Yuriy/projects/hotel/client/flow-typed/npm/webpack_v4.x.x.js                                                             | JavaScript |        644 |          4 |         53 |        701 |
| /Users/Yuriy/projects/hotel/client/flow-typed/npm/workbox-webpack-plugin_vx.x.x.js                                              | JavaScript |         96 |         19 |         19 |        134 |
| /Users/Yuriy/projects/hotel/client/package.json                                                                                 | JSON       |        156 |          0 |          1 |        157 |
| /Users/Yuriy/projects/hotel/client/public/index.html                                                                            | HTML       |         42 |         43 |          5 |         90 |
| /Users/Yuriy/projects/hotel/client/public/js/agency.js                                                                          | JavaScript |         32 |          6 |          6 |         44 |
| /Users/Yuriy/projects/hotel/client/public/js/agency.min.js                                                                      | JavaScript |          1 |          5 |          1 |          7 |
| /Users/Yuriy/projects/hotel/client/public/js/bootstrap.bundle.min.js                                                            | JavaScript |          1 |          6 |          0 |          7 |
| /Users/Yuriy/projects/hotel/client/public/js/jquery.easing.min.js                                                               | JavaScript |          1 |          0 |          0 |          1 |
| /Users/Yuriy/projects/hotel/client/public/js/jquery.min.js                                                                      | JavaScript |          1 |          1 |          1 |          3 |
| /Users/Yuriy/projects/hotel/client/public/js/popper.min.js                                                                      | JavaScript |          1 |          4 |          1 |          6 |
| /Users/Yuriy/projects/hotel/client/public/manifest.json                                                                         | JSON       |         25 |          0 |          1 |         26 |
| /Users/Yuriy/projects/hotel/client/scripts/build.js                                                                             | JavaScript |        167 |         23 |         22 |        212 |
| /Users/Yuriy/projects/hotel/client/scripts/start.js                                                                             | JavaScript |        115 |         19 |         14 |        148 |
| /Users/Yuriy/projects/hotel/client/scripts/test.js                                                                              | JavaScript |         36 |          7 |         11 |         54 |
| /Users/Yuriy/projects/hotel/client/src/App.css                                                                                  | CSS        |         47 |          1 |         10 |         58 |
| /Users/Yuriy/projects/hotel/client/src/App.js                                                                                   | JavaScript |        108 |         31 |         14 |        153 |
| /Users/Yuriy/projects/hotel/client/src/App.test.js                                                                              | JavaScript |          8 |          0 |          2 |         10 |
| /Users/Yuriy/projects/hotel/client/src/assets/css/adminMessagesView.css                                                         | CSS        |         34 |          0 |          2 |         36 |
| /Users/Yuriy/projects/hotel/client/src/assets/css/clientMessageForm.css                                                         | CSS        |         32 |          0 |          3 |         35 |
| /Users/Yuriy/projects/hotel/client/src/assets/css/componentFadeIns.css                                                          | CSS        |         31 |         19 |          0 |         50 |
| /Users/Yuriy/projects/hotel/client/src/assets/css/convoSplashScreen.css                                                         | CSS        |        117 |          0 |         15 |        132 |
| /Users/Yuriy/projects/hotel/client/src/assets/css/successComponent.css                                                          | CSS        |         29 |          0 |          2 |         31 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/agency.css                                                                  | CSS        |        589 |          9 |        100 |        698 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/booking_style.css                                                           | CSS        |        135 |          0 |         19 |        154 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/js/contact_me.js                                                            | JavaScript |         64 |          8 |          4 |         76 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/js/jqBootstrapValidation.js                                                 | JavaScript |        757 |         96 |         85 |        938 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/bootstrap/css/bootstrap-grid.css                                     | CSS        |      3,511 |          7 |        201 |      3,719 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/bootstrap/css/bootstrap-grid.min.css                                 | CSS        |          1 |          6 |          0 |          7 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/bootstrap/css/bootstrap-reboot.css                                   | CSS        |        267 |          8 |         56 |        331 |
