Date : 2021-08-23 17:03:12
Directory : /Users/Yuriy/projects/hotel
Total : 465 files,  93791 codes, 11753 comments, 15340 blanks, all 120884 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/Yuriy/projects/hotel/src/models/Room.js                                                                                  | JavaScript |         76 |          0 |          2 |         78 |
| /Users/Yuriy/projects/hotel/src/models/RoomImage.js                                                                             | JavaScript |         21 |          0 |          2 |         23 |
| /Users/Yuriy/projects/hotel/src/models/ServiceImage.js                                                                          | JavaScript |         21 |          0 |          2 |         23 |
| /Users/Yuriy/projects/hotel/src/models/User.js                                                                                  | JavaScript |         39 |          0 |          2 |         41 |
| /Users/Yuriy/projects/hotel/src/routes/authRoutes.js                                                                            | JavaScript |         29 |          0 |          8 |         37 |
| /Users/Yuriy/projects/hotel/src/routes/combineRoutes.js                                                                         | JavaScript |         32 |          6 |          1 |         39 |
| /Users/Yuriy/projects/hotel/src/routes/contactPostRoutes.js                                                                     | JavaScript |         15 |         12 |          5 |         32 |
| /Users/Yuriy/projects/hotel/src/routes/conversationRoutes.js                                                                    | JavaScript |         15 |         13 |          4 |         32 |
| /Users/Yuriy/projects/hotel/src/routes/diningImageRoutes.js                                                                     | JavaScript |         10 |          6 |          2 |         18 |
| /Users/Yuriy/projects/hotel/src/routes/diningRoutes.js                                                                          | JavaScript |         19 |         15 |          8 |         42 |
| /Users/Yuriy/projects/hotel/src/routes/helpers/routeHelpers.js                                                                  | JavaScript |          9 |          0 |          0 |          9 |
| /Users/Yuriy/projects/hotel/src/routes/mailRoutes.js                                                                            | JavaScript |          6 |          3 |          2 |         11 |
| /Users/Yuriy/projects/hotel/src/routes/menuImageRoutes.js                                                                       | JavaScript |         10 |          6 |          3 |         19 |
| /Users/Yuriy/projects/hotel/src/routes/messageRoutes.js                                                                         | JavaScript |         15 |         28 |          7 |         50 |
| /Users/Yuriy/projects/hotel/src/routes/newsPostImageRouters.js                                                                  | JavaScript |         13 |          9 |          5 |         27 |
| /Users/Yuriy/projects/hotel/src/routes/newsPostsRoutes.js                                                                       | JavaScript |         15 |         12 |          5 |         32 |
| /Users/Yuriy/projects/hotel/src/routes/roomImageRoutes.js                                                                       | JavaScript |         10 |          6 |          3 |         19 |
| /Users/Yuriy/projects/hotel/src/routes/roomRoutes.js                                                                            | JavaScript |         18 |         16 |          5 |         39 |
| /Users/Yuriy/projects/hotel/src/routes/serviceImageRoutes.js                                                                    | JavaScript |         10 |          6 |          2 |         18 |
| /Users/Yuriy/projects/hotel/src/routes/serviceRoutes.js                                                                         | JavaScript |         19 |         15 |          8 |         42 |
| /Users/Yuriy/projects/hotel/src/routes/testRoutes.js                                                                            | JavaScript |          9 |          0 |          0 |          9 |
| /Users/Yuriy/projects/hotel/src/server.js                                                                                       | JavaScript |         98 |         14 |         17 |        129 |
| /Users/Yuriy/projects/hotel/src/uploaders/diningImageUploader.js                                                                | JavaScript |         93 |          8 |          8 |        109 |
| /Users/Yuriy/projects/hotel/src/uploaders/helpers/uploaderHelpers.js                                                            | JavaScript |         22 |          1 |          1 |         24 |
| /Users/Yuriy/projects/hotel/src/uploaders/menuImageUploader.js                                                                  | JavaScript |         93 |          8 |          7 |        108 |
| /Users/Yuriy/projects/hotel/src/uploaders/newsPostImageUploader.js                                                              | JavaScript |         93 |          8 |          8 |        109 |
| /Users/Yuriy/projects/hotel/src/uploaders/postImageUploader.js                                                                  | JavaScript |         88 |          8 |          6 |        102 |
| /Users/Yuriy/projects/hotel/src/uploaders/roomImageUploader.js                                                                  | JavaScript |         92 |          8 |          7 |        107 |
| /Users/Yuriy/projects/hotel/src/uploaders/serviceImageUploader.js                                                               | JavaScript |         91 |          8 |          6 |        105 |
| Total                                                                                                                           |            |     93,791 |     11,753 |     15,340 |    120,884 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
